edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/godot/scene/resources/curve.cpp,2,0,2
/media/ullmann/hdd/research/engines/godot/scene/resources/curve.h,1,6,7
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/common/c_types_map.hpp,0,51,51
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/huffenc.h,1,3,4
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/huffman.h,2,3,5
/media/ullmann/hdd/research/engines/godot/core/bind/core_bind.h,10,8,18
/media/ullmann/hdd/research/engines/godot/scene/resources/particles_material.cpp,2,0,2
/media/ullmann/hdd/research/engines/godot/scene/resources/particles_material.h,2,10,12
/media/ullmann/hdd/research/engines/godot/thirdparty/libpng/pngpread.c,1,0,1
/media/ullmann/hdd/research/engines/godot/thirdparty/libpng/pngpriv.h,5,18,23
/media/ullmann/hdd/research/engines/godot/modules/fbx/editor_scene_importer_fbx.h,20,2,22
/media/ullmann/hdd/research/engines/godot/modules/fbx/fbx_parser/FBXMeshGeometry.h,6,8,14
/media/ullmann/hdd/research/engines/godot/drivers/alsamidi/midi_driver_alsamidi.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/modules/gltf/editor_scene_importer_gltf.cpp,16,0,16
/media/ullmann/hdd/research/engines/godot/thirdparty/libvpx/vp8/common/reconinter.c,3,0,3
/media/ullmann/hdd/research/engines/godot/thirdparty/libvpx/vp8/common/reconinter.h,0,1,1
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/type1/t1parse.c,2,1,3
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/type1/t1errors.h,0,6,6
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/type1/t1load.h,1,3,4
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/type1/t1parse.h,0,2,2
/media/ullmann/hdd/research/engines/godot/modules/opensimplex/noise_texture.h,6,2,8
/media/ullmann/hdd/research/engines/godot/modules/opensimplex/open_simplex_noise.h,4,3,7
/media/ullmann/hdd/research/engines/godot/thirdparty/misc/mikktspace.h,0,3,3
/media/ullmann/hdd/research/engines/godot/drivers/gles3/rasterizer_scene_gles3.h,12,4,16
/media/ullmann/hdd/research/engines/godot/drivers/gles3/shaders/effect_blur.glsl.gen.h,1,1,2
/media/ullmann/hdd/research/engines/godot/scene/3d/spatial.h,2,40,42
/media/ullmann/hdd/research/engines/godot/scene/gui/dialogs.cpp,7,0,7
/media/ullmann/hdd/research/engines/godot/core/io/multiplayer_api.cpp,4,0,4
/media/ullmann/hdd/research/engines/godot/editor/scene_tree_editor.cpp,10,0,10
/media/ullmann/hdd/research/engines/godot/editor/node_dock.h,2,5,7
/media/ullmann/hdd/research/engines/godot/scene/3d/room_manager.cpp,18,0,18
/media/ullmann/hdd/research/engines/godot/scene/3d/light.h,3,12,15
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/sfnt/sfnt.c,15,0,15
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/sfnt/ttsbit.c,4,1,5
/media/ullmann/hdd/research/engines/godot/editor/plugins/editor_preview_plugins.cpp,12,0,12
/media/ullmann/hdd/research/engines/godot/core/io/file_access_memory.h,1,5,6
/media/ullmann/hdd/research/engines/godot/editor/import/resource_importer_layered_texture.cpp,7,0,7
/media/ullmann/hdd/research/engines/godot/scene/resources/texture.h,10,53,63
/media/ullmann/hdd/research/engines/godot/platform/javascript/os_javascript.cpp,11,0,11
/media/ullmann/hdd/research/engines/godot/drivers/gles2/rasterizer_gles2.h,4,8,12
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/autofit/afhints.c,2,1,3
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/autofit/afhints.h,1,9,10
/media/ullmann/hdd/research/engines/godot/servers/physics/collision_solver_sat.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/servers/physics/collision_solver_sat.h,1,2,3
/media/ullmann/hdd/research/engines/godot/platform/android/os_android.cpp,14,0,14
/media/ullmann/hdd/research/engines/godot/core/project_settings.h,3,172,175
/media/ullmann/hdd/research/engines/godot/modules/gdnative/gdnative/vector3.cpp,2,0,2
/media/ullmann/hdd/research/engines/godot/core/variant.h,18,63,81
/media/ullmann/hdd/research/engines/godot/thirdparty/mbedtls/library/rsa.c,2,0,2
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/LinearMath/btPolarDecomposition.cpp,2,1,3
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/LinearMath/btMinMax.h,1,6,7
/media/ullmann/hdd/research/engines/godot/thirdparty/mbedtls/library/pkcs5.c,1,0,1
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/common/tasking/taskscheduler.h,3,3,6
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/common/tasking/taskschedulertbb.h,7,1,8
/media/ullmann/hdd/research/engines/godot/servers/audio/effects/audio_effect_compressor.h,1,3,4
/media/ullmann/hdd/research/engines/godot/editor/editor_resource_preview.cpp,9,0,9
/media/ullmann/hdd/research/engines/godot/modules/mono/glue/nodepath_glue.h,2,2,4
/media/ullmann/hdd/research/engines/godot/modules/mono/mono_gd/gd_mono_marshal.h,3,22,25
/media/ullmann/hdd/research/engines/godot/scene/2d/ray_cast_2d.cpp,5,0,5
/media/ullmann/hdd/research/engines/godot/scene/3d/mesh_instance.cpp,9,0,9
/media/ullmann/hdd/research/engines/godot/core/core_string_names.h,1,34,35
/media/ullmann/hdd/research/engines/godot/platform/x11/crash_handler_x11.cpp,5,0,5
/media/ullmann/hdd/research/engines/godot/main/main.h,3,23,26
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/LinearMath/btAabbUtil2.h,3,0,3
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/LinearMath/btVector3.h,3,13,16
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/common/simd/avx512.h,12,6,18
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/common/simd/vfloat16_avx512.h,0,1,1
/media/ullmann/hdd/research/engines/godot/platform/x11/context_gl_x11.cpp,1,0,1
/media/ullmann/hdd/research/engines/godot/platform/x11/context_gl_x11.h,1,2,3
/media/ullmann/hdd/research/engines/godot/modules/webrtc/webrtc_data_channel_js.h,1,2,3
/media/ullmann/hdd/research/engines/godot/modules/webrtc/webrtc_data_channel.h,1,5,6
/media/ullmann/hdd/research/engines/godot/modules/gdnative/net/webrtc_gdnative.cpp,4,0,4
